area;ind;behavior;sp;fortnight
SABCOL;C056;FEEDING;eri_rub;19
SABCOL;C056;FEEDING;chl_chl;19
SABCOL;C056;FEEDING;chl_chl;19
SABCOL;C056;FEEDING;chl_chl;19
SABCOL;C056;NO FEEDING;chl_chl;19
SABCOL;C056;FEEDING;vul_vul;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;NO FEEDING;tur_mer;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;tur_phi;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABMAR;M664;NO FEEDING;tur_mer;19
SABMAR;M664;NO FEEDING;eri_rub;19
SABMAR;M664;NO FEEDING;eri_rub;19
SABMAR;M820;NO FEEDING;eri_rub;19
SABOJI;O023;FEEDING;tur_phi;19
SABOJI;O023;NO FEEDING;syl_mel;19
SABOJI;O314;NO FEEDING;ory_cun;19
SABOJI;O463;NO FEEDING;tur_mer;19
SABOJI;O463;NO FEEDING;eri_rub;19
SABOJI;O463;NO FEEDING;tur_phi;19
SABOJI;O514;NO FEEDING;eri_rub;19
SABCOL;C056;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;tur_phi;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C168;FEEDING;vul_vul;19
SABMAR;M207;NO FEEDING;tur_phi;19
SABMAR;M820;FEEDING;tur_phi;19
SABMAR;M820;FEEDING;eri_rub;19
SABMAR;M820;NO FEEDING;tur_phi;19
SABMAR;M820;NO FEEDING;eri_rub;19
SABOJI;O023;NO FEEDING;chl_chl;19
SABOJI;O023;FEEDING;eri_rub;19
SABOJI;O023;FEEDING;tur_mer;19
SABCOL;C056;FEEDING;tur_phi;19
SABCOL;C056;NO FEEDING;chl_chl;19
SABCOL;C056;NO FEEDING;eri_rub;19
SABCOL;C056;FEEDING;chl_chl;19
SABCOL;C056;FEEDING;chl_chl;19
SABCOL;C056;FEEDING;chl_chl;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;NO FEEDING;chl_chl;19
SABCOL;C153;NO FEEDING;syl_mel;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABMAR;M820;NO FEEDING;tur_phi;19
SABOJI;O023;FEEDING;tur_phi;19
SABOJI;O023;FEEDING;tur_phi;19
SABOJI;O023;FEEDING;syl_mel;19
SABOJI;O463;FEEDING;tur_phi;19
SABOJI;O463;FEEDING;tur_mer;19
SABCOL;C056;FEEDING;chl_chl;19
SABCOL;C056;NO FEEDING;chl_chl;19
SABCOL;C056;FEEDING;chl_chl;19
SABCOL;C056;FEEDING;eri_rub;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;FEEDING;tur_phi;19
SABMAR;M664;NO FEEDING;eri_rub;19
SABOJI;O023;NO FEEDING;tur_mer;19
SABOJI;O023;NO FEEDING;tur_phi;19
SABOJI;O023;NO FEEDING;tur_phi;19
SABOJI;O023;NO FEEDING;tur_mer;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABOJI;O023;FEEDING;tur_phi;19
SABCOL;C150;FEEDING;tur_phi;19
SABCOL;C150;FEEDING;chl_chl;19
SABMAR;M541;FEEDING;tur_tor;19
SABCOL;C150;FEEDING;tur_tor;19
SABCOL;C150;FEEDING;chl_chl;19
SABCOL;C150;FEEDING;tur_phi;19
SABOJI;O488;NO FEEDING;tur_phi;19
SABOJI;O488;NO FEEDING;tur_phi;19
SABOJI;O488;NO FEEDING;tur_phi;19
SABOJI;O488;FEEDING;tur_phi;19
SABOJI;O580;NO FEEDING;tur_mer;19
SABOJI;O839;FEEDING;tur_mer;19
SABCOL;C056;FEEDING;tur_phi;19
SABCOL;C056;FEEDING;tur_mer;19
SABOJI;O105;NO FEEDING;ory_cun;19
SABOJI;O580;FEEDING;tur_mer;19
SABCOL;C056;FEEDING;vul_vul;19
SABCOL;C056;NO FEEDING;tur_phi;19
SABOJI;O580;NO FEEDING;tur_phi;19
SABOJI;O580;NO FEEDING;tur_phi;19
SABOJI;O580;FEEDING;tur_phi;19
SABCOL;C056;FEEDING;eri_rub;19
SABCOL;C056;FEEDING;chl_chl;19
SABCOL;C150;FEEDING;tur_phi;19
SABCOL;C150;FEEDING;tur_phi;19
SABCOL;C172;FEEDING;tur_phi;19
SABOJI;O488;NO FEEDING;eri_rub;19
SABOJI;O488;NO FEEDING;tur_phi;19
SABOJI;O488;FEEDING;tur_phi;19
SABOJI;O580;NO FEEDING;tur_phi;19
SABOJI;O580;NO FEEDING;tur_phi;19
SABOJI;O580;FEEDING;tur_mer;19
SABOJI;O580;NO FEEDING;tur_phi;19
SABOJI;O580;FEEDING;tur_mer;19
SABOJI;O839;NO FEEDING;tur_phi;19
SABOJI;O839;NO FEEDING;tur_mer;19
SABOJI;O839;FEEDING;eri_rub;19
SABCOL;C056;NO FEEDING;eri_rub;19
SABCOL;C056;NO FEEDING;tur_phi;19
SABCOL;C056;NO FEEDING;tur_mer;19
SABCOL;C056;FEEDING;chl_chl;19
SABCOL;C056;NO FEEDING;chl_chl;19
SABCOL;C056;NO FEEDING;chl_chl;19
SABCOL;C056;NO FEEDING;syl_mel;19
SABCOL;C150;FEEDING;tur_phi;19
SABCOL;C150;NO FEEDING;syl_mel;19
SABCOL;C150;FEEDING;chl_chl;19
SABCOL;C172;FEEDING;tur_phi;19
SABMAR;M087;FEEDING;ory_cun;19
SABMAR;M847;NO FEEDING;tur_phi;19
SABOJI;O105;NO FEEDING;tur_phi;19
SABOJI;O488;NO FEEDING;tur_phi;19
SABOJI;O488;NO FEEDING;tur_phi;19
SABOJI;O580;NO FEEDING;tur_mer;19
SABOJI;O580;NO FEEDING;eri_rub;19
SABOJI;O839;NO FEEDING;tur_phi;19
SABOJI;O839;NO FEEDING;tur_mer;19
SABOJI;O839;NO FEEDING;tur_mer;19
SABOJI;O839;NO FEEDING;tur_mer;19
SABOJI;O839;FEEDING;tur_mer;19
SABOJI;O839;FEEDING;tur_phi;19
SABCOL;C174;NO FEEDING;tur_phi;19
SABOJI;O839;FEEDING;eri_rub;19
SABOJI;O839;FEEDING;tur_mer;19
SABOJI;O839;NO FEEDING;eri_rub;19
SABCOL;C285;NO FEEDING;tur_phi;19
SABMAR;M518;NO FEEDING;tur_phi;19
SABOJI;O006;NO FEEDING;tur_phi;19
SABOJI;O642;NO FEEDING;tur_mer;19
SABOJI;O268;NO FEEDING;ory_cun;20
SABMAR;M087;NO FEEDING;syl_mel;20
SABMAR;M826;NO FEEDING;tur_phi;20
SABCOL;C017;NO FEEDING;chl_chl;20
SABCOL;C055;FEEDING;ory_cun;20
SABMAR;M826;NO FEEDING;eri_rub;20
SABMAR;M826;FEEDING;tur_phi;20
SABMAR;M826;NO FEEDING;eri_rub;20
SABCOL;C086;FEEDING;vul_vul;20
SABCOL;C107;FEEDING;cer_ela;20
SABMAR;M826;FEEDING;chl_chl;20
SABOJI;O304;FEEDING;ory_cun;20
SABCOL;C176;NO FEEDING;chl_chl;20
SABOJI;O304;FEEDING;ory_cun;20
SABMAR;M826;FEEDING;tur_phi;20
SABMAR;M826;NO FEEDING;eri_rub;20
SABMAR;M826;NO FEEDING;eri_rub;20
SABCOL;C107;FEEDING;vul_vul;20
SABMAR;M826;FEEDING;tur_phi;20
SABCOL;C017;FEEDING;chl_chl;20
SABCOL;C017;FEEDING;chl_chl;20
SABCOL;C017;FEEDING;chl_chl;20
SABMAR;M826;NO FEEDING;tur_phi;20
SABMAR;M826;NO FEEDING;tur_phi;20
SABCOL;C153;FEEDING;tur_phi;20
SABCOL;C153;NO FEEDING;chl_chl;20
SABCOL;C153;NO FEEDING;tur_phi;20
SABCOL;C168;FEEDING;cer_ela;20
SABMAR;M820;NO FEEDING;eri_rub;20
SABOJI;O023;FEEDING;tur_phi;20
SABOJI;O621;NO FEEDING;tur_phi;20
SABOJI;O621;FEEDING;tur_mer;20
SABCOL;C056;FEEDING;chl_chl;20
SABCOL;C153;FEEDING;vul_vul;20
SABMAR;M460;NO FEEDING;eri_rub;20
SABMAR;M820;NO FEEDING;eri_rub;20
SABMAR;M820;NO FEEDING;tur_phi;20
SABOJI;O023;NO FEEDING;tur_phi;20
SABOJI;O463;NO FEEDING;tur_phi;20
SABOJI;O626;FEEDING;tur_phi;20
SABCOL;C131;NO FEEDING;tur_phi;20
SABCOL;C153;NO FEEDING;tur_phi;20
SABCOL;C153;FEEDING;chl_chl;20
SABCOL;C153;NO FEEDING;tur_phi;20
SABCOL;C153;NO FEEDING;syl_und;20
SABCOL;C153;FEEDING;vul_vul;20
SABCOL;C153;NO FEEDING;tur_phi;20
SABCOL;C153;NO FEEDING;tur_phi;20
SABMAR;M460;NO FEEDING;tur_phi;20
SABMAR;M820;FEEDING;tur_phi;20
SABOJI;O023;NO FEEDING;tur_phi;20
SABOJI;O023;NO FEEDING;tur_phi;20
SABOJI;O023;NO FEEDING;eri_rub;20
SABOJI;O463;NO FEEDING;ory_cun;20
SABCOL;C106;NO FEEDING;syl_mel;20
SABCOL;C153;FEEDING;tur_phi;20
SABCOL;C153;FEEDING;tur_phi;20
SABCOL;C153;FEEDING;tur_phi;20
SABCOL;C153;NO FEEDING;tur_phi;20
SABCOL;C153;FEEDING;chl_chl;20
SABCOL;C168;FEEDING;vul_vul;20
SABMAR;M664;FEEDING;tur_phi;20
SABOJI;O023;FEEDING;tur_phi;20
SABOJI;O023;NO FEEDING;tur_phi;20
SABOJI;O023;NO FEEDING;eri_rub;20
SABOJI;O621;NO FEEDING;tur_phi;20
SABCOL;C285;NO FEEDING;tur_phi;21
SABCOL;C285;FEEDING;chl_chl;21
SABOJI;O006;NO FEEDING;eri_rub;21
SABOJI;O006;NO FEEDING;tur_phi;21
SABOJI;O582;FEEDING;her_icn;21
SABMAR;M843;FEEDING;tur_phi;21
SABMAR;M843;FEEDING;ory_cun;21
SABCOL;C050;NO FEEDING;chl_chl;21
SABOJI;O268;NO FEEDING;syl_mel;21
